"Standard Report - Exports"
"Current date: 04/18/2024 12:52 PM (Eastern Daylight Time)"
"Country","Commodity","Time","Quantity 1",
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2019","183,350"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2020","83,084"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2021","335,277"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2022","155,270"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2023","160,228"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","1995","232,095"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","1996","125,929"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","1997","141,815"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","1998","31,025"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","1999","31,861"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2000","33,692"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2001","231,843"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2002","76,136"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2003","39,614"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2004","44,567"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2005","91,259"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2006","43,501"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2007","46,259"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2008","23,351"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2009","63,423"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2010","50,490"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2011","9,800"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2012","11,767"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2013","10,408"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2014","21,351"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2015","7,156"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2016","6,200"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2017","2,105"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2018","3,501"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2019","38,215"
"World Total","7204410040 No 2 Bundles Steel Scrap (t)","2020","138,945"
