"Standard Report - Exports"
"Current date: 04/18/2024 1:10 PM (Eastern Daylight Time)"
"Country","Commodity","Time","Quantity 1",
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2023","380,673"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","1995","1,424,211"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","1996","1,010,652"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","1997","1,414,195"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","1998","1,713,418"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","1999","1,622,393"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2000","1,575,270"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2001","1,542,474"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2002","1,805,032"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2003","2,220,850"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2004","2,114,390"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2005","2,447,802"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2006","2,320,211"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2007","2,455,127"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2008","2,552,374"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2009","2,571,779"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2010","2,361,871"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2011","2,194,350"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2012","2,219,526"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2013","2,132,036"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2014","2,186,039"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2015","2,003,334"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2016","1,742,267"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2017","1,759,726"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2018","1,217,959"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2019","704,506"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2020","580,566"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2021","667,906"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2022","584,055"
"World Total","4707300020 Newsprint Waste And Scrap Paper (t)","2023","378,945"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","1995","579,695"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","1996","419,885"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","1997","374,393"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","1998","400,576"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","1999","554,927"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2000","866,215"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2001","840,614"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2002","927,120"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2003","1,130,464"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2004","1,137,098"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2005","1,223,372"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2006","1,382,896"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2007","1,677,401"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2008","1,594,527"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2009","898,427"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2010","2,264,572"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2011","2,760,998"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2012","2,058,619"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2013","1,938,886"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2014","2,030,096"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2015","2,078,073"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2016","2,620,398"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2017","2,337,985"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2018","1,669,413"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2019","1,547,496"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2020","1,454,193"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2021","414,057"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2022","180,489"
"World Total","4707300040 Waste/scrap Paper, Paperbd, Mechanical Pulp, Nesoi (t)","2023","105,873"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","1995","1,884,886"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","1996","1,367,096"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","1997","1,385,958"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","1998","1,582,647"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","1999","2,031,219"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2000","2,863,862"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2001","3,111,264"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2002","3,320,161"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2003","4,144,510"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2004","4,559,867"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2005","5,160,881"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2006","5,901,662"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2007","7,027,221"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2008","6,086,955"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2009","6,878,805"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2010","4,455,783"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2011","4,142,967"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2012","4,115,916"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2013","3,937,377"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2014","4,202,927"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2015","4,265,963"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2016","3,624,187"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2017","3,528,870"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2018","2,610,121"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2019","2,434,764"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2020","1,918,159"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2021","2,737,069"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2022","2,753,504"
"World Total","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2023","1,956,056"
"Afghanistan","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","1995","345"
"Afghanistan","4707200020 High-grade Deinking Waste Paper And Paperboard (t)","2001","411"
"Afghanistan","4707200020 High-grade Deinking Waste Paper And Paperboard (t)","2003","255"
"Afghanistan","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","1996","90"
"Afghanistan","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2011","26"
"Afghanistan","4707300020 Newsprint Waste And Scrap Paper (t)","2001","7"
"Afghanistan","4707300020 Newsprint Waste And Scrap Paper (t)","2018","20"
"Afghanistan","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2001","21"
"Albania","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","1995","84"
"Albania","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2001","26"
"Albania","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2003","48"
"Albania","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2004","24"
"Albania","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2013","32"
"Albania","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2018","177"
"Albania","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2019","175"
"Albania","4707900000 Waste, Scrap, Incl Unsorted, Paper, Paperbd, Nesoi (t)","2020","20"
"Algeria","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2003","116"
"Algeria","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2004","185"
"Algeria","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2005","110"
"Algeria","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2008","343"
"Algeria","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2009","932"
"Algeria","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2010","172"
"Algeria","4707100000 Waste, Scrap Unbleach Kraft, Corrugatd Paper/pprbd (t)","2011","221"
